t_wall_ns,objects,confirmed,avg_hits,upserts_total,ingest_q
89008476686698,0,0,0.0,0,0
89009476543550,0,0,0.0,0,0
89010476806541,0,0,0.0,0,0
89011476937496,0,0,0.0,0,0
89012475358999,0,0,0.0,0,1
89013475342543,0,0,0.0,0,3
89014477862032,0,0,0.0,0,5
89015476166506,9,0,1.3333333333333333,0,7
89016475726380,9,0,1.3333333333333333,0,9
89017476777032,11,0,2.1818181818181817,0,10
89018475695575,11,0,2.1818181818181817,0,13
89019476206236,12,1,3.0,0,14
89020474748252,13,1,3.6923076923076925,0,16
89021476184365,13,1,3.6923076923076925,0,18
89022476476878,14,8,4.285714285714286,0,19
89023478499497,14,8,4.285714285714286,0,21
89024477208812,14,10,4.928571428571429,0,23
89025474995409,14,10,4.928571428571429,0,26
89026481147688,13,12,6.0,0,27
89027476167731,15,12,5.8,0,29
89028476459091,15,12,5.8,0,32
89029475962421,15,12,6.6,0,33
89030475374278,15,12,6.6,0,35
89031475884701,15,13,7.4,0,37
89032475546409,15,13,8.2,0,38
89033477228341,15,13,8.2,0,41
89034476669558,15,14,9.0,0,42
89035477366383,15,14,9.0,0,44
89036476780023,15,15,9.8,0,46
89037474036941,15,15,9.8,0,48
89038476258002,15,15,10.6,0,49
89039480767332,15,15,11.4,0,50
89040476678962,15,15,11.4,0,53
89041477875078,15,15,12.2,0,54
89042477086514,15,15,12.2,0,56
89043476892937,16,15,12.1875,0,58
89044474658218,16,15,12.1875,0,60
89045475916262,16,15,12.9375,0,61
89046478024413,17,15,12.882352941176471,0,62
89047475912545,17,15,12.882352941176471,0,65
89048476934533,17,15,13.588235294117647,0,66
89049474482405,17,15,13.588235294117647,0,68
89050480349206,17,15,14.294117647058824,0,70
89051475866592,17,16,15.0,0,71
89052476801520,17,16,15.0,0,73
89053476356013,17,16,15.705882352941176,0,75
89054476521670,17,16,15.705882352941176,0,77
89055476573030,18,17,15.5,0,78
89056484594600,18,17,16.166666666666668,0,79
89057476979228,18,17,16.166666666666668,0,82
89058477214630,18,17,16.833333333333332,0,84
89059477435293,18,17,16.833333333333332,0,86
89060476232088,17,17,18.470588235294116,0,88
89061475268837,17,17,18.470588235294116,0,90
89062476400855,17,17,19.176470588235293,0,91
89063476604342,18,17,18.77777777777778,0,91
89064476867038,18,17,18.77777777777778,0,93
89065476577937,18,17,19.444444444444443,0,94
89066476295602,18,17,19.444444444444443,0,96
89067477166734,18,17,20.11111111111111,0,98
89068476204133,17,17,21.941176470588236,0,99
89069479874794,17,17,21.941176470588236,0,101
89070477317634,17,17,22.647058823529413,0,102
89071476996997,17,17,22.647058823529413,0,104
89072476179553,17,17,23.352941176470587,0,105
89073475328870,17,17,23.352941176470587,0,107
89074475692225,17,17,24.058823529411764,0,108
89075475892914,17,17,24.764705882352942,0,109
89076475961606,17,17,24.764705882352942,0,112
89077476466776,17,17,25.470588235294116,0,113
89078478272018,17,17,25.470588235294116,0,115
89079480655173,17,17,26.176470588235293,0,116
89080475267626,17,17,26.176470588235293,0,118
89081475635592,17,17,26.88235294117647,0,120
89082476304518,17,17,27.58823529411765,0,121
89083475829346,17,17,27.58823529411765,0,124
89084476867773,17,17,28.294117647058822,0,125
89085475253627,17,17,28.294117647058822,0,127
89086476194064,17,17,29.0,0,129
89087475912479,17,17,29.705882352941178,0,131
89088475641167,17,17,29.705882352941178,0,133
89089476418491,19,17,26.68421052631579,0,134
89090475850240,20,17,25.4,0,136
89091477264574,20,17,25.4,0,137
89092476699240,20,17,25.4,0,139
89093477290257,30,17,17.333333333333332,0,140
89094477529594,30,17,17.333333333333332,0,141
89095476307180,32,17,16.3125,0,142
89096478207701,32,17,16.3125,0,144
89097475803975,34,17,15.441176470588236,0,146
89098476289638,30,17,17.3,0,147
89099480335249,28,17,18.464285714285715,0,149
89100476486666,28,17,18.464285714285715,0,150
89101476932690,28,17,18.464285714285715,0,152
89102476436701,30,17,17.3,0,154
89103476030345,32,17,16.25,0,155
89104474872969,33,17,15.93939393939394,0,157
89105476773999,33,17,15.93939393939394,0,159
89106475916923,34,17,15.529411764705882,0,160
89107476534964,31,17,16.93548387096774,0,162
89108476331254,32,17,16.4375,0,163
89109476703954,32,17,16.4375,0,164
